Before/PC1	After/PC2						
536	584						
538	593						
540	586						
538	595						
579	592						
558	610						
548	594						
531	580						
1110	589						
535	593						
548	592						
550	593						
544	590						
539	587						
530	592						
549	594						
545	583						
556	580						
534	594						
563	580						
534	595						
533	591						
545	591						
534	578						
541	580						
545	595						
539	588						
529	592						
545	588						
544	595						
575	579						
570	593						
559	593						
543	591						
541	590						
543	589						
530	626						
538	595						
562	594						
550	593						
556	593						
553	593						
535	595						
536	609						
536	584						
553	593						
549	592						
528	593						
531	595						
535	590						
1057	589						
535	592						
1058	583						
534	591						
536	595						
545	592						
559	595						
1086	580						
541	590						
600	594						
536	597						
582	589						
581	596						
1057	583						
534	591						
542	591						
1082	595						
549	592						
554	591						
1069	580						
537	591						
534	578						
543	589						
526	582						
524	589						
527	593						
537	595						
1077	596						
534	595						
535	591						
1039	595						
536	580						
528	593						
1050	579						
535	585						
536	595						
1052	592						
561	582						
528	592						
534	593						
555	583						
526	592						
1037	596						
540	592						
615	580						
535	592						
537	579						
537	594						
530	597						
541	593						
538	594						
527	593						
538	595						
529	590						
534	590						
541	582						
527	595						
528	591						
540	594						
521	611						
538	594						
530	593						
529	592						
536	587						
537	585						
532	593						
540	596						
534	593						
527	582						
538	583						
534	595						
538	592						
2088	1127						
541	595						
531	589						
554	586						
529	590						
573	594						
536	596						
547	581						
539	591						
528	591						
542	582						
597	594						
549	589						
530	592						
532	596						
541	595						
530	600						
536	595						
534	596						
552	594						
557	579						
567	595						
531	593						
559	595						
553	590						
539	594						
530	594						
556	595						
536	596						
540	593						
561	592						
547	593						
539	596						
542	594						
528	594						
563	581						
543	589						
542	591						
530	593						
554	593						
528	594						
545	591						
527	591						
542	595						
532	595						
564	590						
532	591						
541	582						
526	590						
529	596						
540	594						
537	593						
526	594						
537	593						
526	595						
570	592						
565	591						
534	594						
530	580						
528	591						
549	581						
533	583						
541	595						
528	590						
545	595						
529	592						
528	591						
530	596						
553	594						
533	592						
528	587						
568	590						
540	593						
538	593						
538	591						
557	596						
538	592						
538	602						
554	589						
602	593						
537	583						
555	594						
533	593						
529	592						
538	590						
536	592						
543	593						
542	591						
535	594						
562	596						
541	592						
550	593						
539	592						
530	590						
533	595						
585	592						
537	583						
540	592						
541	593						
543	592						
529	593						
580	594						
543	589						
528	592						
530	593						
563	588						
528	595						
539	591						
543	591						
541	624						
548	593						
529	588						
559	595						
535	591						
559	592						
535	592						
530	579						
544	590						
530	593						
539	592						
528	591						
531	580						
544	594						
554	595						
550	591						
539	587						
538	596						
536	596						
533	591						
594	592						
554	591						
529	594						
543	592						
538	595						
528	594						
532	593						
528	594						
533	604						
533	590						
548	589						
592	591						
538	595						
538	595						
553	594						
548	580						
531	591						
575	591						
533	588						
532	589						
541	590						
529	592						
538	592						
543	592						
581	593						
582	591						
539	597						
541	596						
539	596						
546	593						
548	589						
529	590						
547	593						
528	590						
563	594						
558	591						
550	598						
533	596						
536	589						
530	591						
538	592						
542	592						
542	581						
