timestamp,test-class,test-method,time,description,result
2021-06-07 11:44:20.936,acme.testing.administrator.word.TestCreateWord,PositiveCreateWord,5680,"[1] word=Colombia, recordIndex=11",OK
2021-06-07 11:44:26.776,acme.testing.administrator.word.TestCreateWord,PositiveCreateWord,5652,"[2] word=Nigga, recordIndex=12",OK
2021-06-07 11:44:32.539,acme.testing.administrator.word.TestCreateWord,PositiveCreateWord,5575,"[3] word=Negrata, recordIndex=13",OK
2021-06-07 11:44:36.497,acme.testing.administrator.word.TestCreateWord,NegativeCreateWord,3753,"[1] word=sexo",OK
2021-06-07 11:44:40.47,acme.testing.administrator.word.TestCreateWord,NegativeCreateWord,3783,"[2] word=null",OK
2021-06-07 11:44:53.243,acme.testing.administrator.word.TestListShowWord,positiveListShow,5019,"[1] index=0, word=Nigeria",OK
2021-06-07 11:44:58.444,acme.testing.administrator.word.TestListShowWord,positiveListShow,5014,"[2] index=1, word=sexo",OK
2021-06-07 11:45:03.658,acme.testing.administrator.word.TestListShowWord,positiveListShow,5024,"[3] index=2, word=sex",OK
2021-06-07 11:45:08.847,acme.testing.administrator.word.TestListShowWord,positiveListShow,4997,"[4] index=3, word=hardcore",OK
2021-06-07 11:45:14.069,acme.testing.administrator.word.TestListShowWord,positiveListShow,5035,"[5] index=4, word=Viagra",OK
2021-06-07 11:45:27.561,acme.testing.administrator.word.TestDeleteWord,positiveDeleteShow,5804,"[1] index=0, word=Nigeria",OK
2021-06-07 11:45:33.533,acme.testing.administrator.word.TestDeleteWord,positiveDeleteShow,5784,"[2] index=1, word=sexo",OK
2021-06-07 11:45:39.507,acme.testing.administrator.word.TestDeleteWord,positiveDeleteShow,5791,"[3] index=2, word=sex",OK
2021-06-07 11:45:45.468,acme.testing.administrator.word.TestDeleteWord,positiveDeleteShow,5772,"[4] index=3, word=hardcore",OK
2021-06-07 11:45:51.464,acme.testing.administrator.word.TestDeleteWord,positiveDeleteShow,5764,"[5] index=4, word=Viagra",OK
2021-06-07 11:46:03.911,acme.testing.administrator.word.TestUpdateWord,PositiveUpdateWord,4783,"[1] word=follar, index=0",OK
2021-06-07 11:46:08.86,acme.testing.administrator.word.TestUpdateWord,PositiveUpdateWord,4743,"[2] word=fuck, index=1",OK
2021-06-07 11:46:13.782,acme.testing.administrator.word.TestUpdateWord,PositiveUpdateWord,4743,"[3] word=warzone, index=2",OK
2021-06-07 11:46:18.532,acme.testing.administrator.word.TestUpdateWord,NegativeUpdateWord,4556,"[1] word=null, index=0",OK
2021-06-07 11:46:23.339,acme.testing.administrator.word.TestUpdateWord,NegativeUpdateWord,4616,"[2] word=null, index=1",OK
2021-06-07 11:46:28.119,acme.testing.administrator.word.TestUpdateWord,NegativeUpdateWord,4596,"[3] word=null, index=2",OK
