timestamp;simple-path;time;;PC2;;;;
2021-08-29 23:13:19.049;/administrator/word-class/show;578;;;;;;
2021-08-29 23:13:25.038;/administrator/word-class/show;593;;;;;;
2021-08-29 23:13:38.268;/administrator/word-class/show;595;;;;;;
2021-08-29 23:13:43.226;/administrator/word-class/show;592;;;;;;
2021-08-29 23:13:48.167;/administrator/word-class/show;593;;;;;;
2021-08-29 23:13:53.111;/administrator/word-class/show;597;;;;;;
2021-08-29 23:13:57.891;/administrator/word-class/show;593;;;;;;
2021-08-29 23:14:02.616;/administrator/word-class/show;594;;;;;;
2021-08-29 23:13:53.875;/administrator/word-class/update;593;;;;;;
2021-08-29 23:13:58.653;/administrator/word-class/update;592;;;;;;
2021-08-29 23:14:03.395;/administrator/word-class/update;591;;;;;;
2021-08-29 23:09:54.22;/administrator/workplan-dashboard/show;580;;;;;;
2021-08-29 23:09:58.313;/administrator/workplan-dashboard/show;597;;;;;;
2021-08-29 23:03:45.096;/anonymous/shout/create;593;;;;;;
2021-08-29 23:03:48.273;/anonymous/shout/create;595;;;;;;
2021-08-29 23:03:51.438;/anonymous/shout/create;579;;;;;;
2021-08-29 23:03:54.587;/anonymous/shout/create;592;;;;;;
2021-08-29 23:03:57.765;/anonymous/shout/create;592;;;;;;
2021-08-29 23:04:00.999;/anonymous/shout/create;591;;;;;;
2021-08-29 23:04:04.143;/anonymous/shout/create;591;;;;;;
2021-08-29 23:04:07.33;/anonymous/shout/create;591;;;;;;
2021-08-29 23:04:08.286;/anonymous/shout/create;580;;;;;;
2021-08-29 23:04:09.272;/anonymous/shout/create;595;;;;;;
2021-08-29 23:04:10.264;/anonymous/shout/create;590;;;;;;
2021-08-29 23:04:11.234;/anonymous/shout/create;581;;;;;;
2021-08-29 23:04:12.256;/anonymous/shout/create;580;;;;;;
2021-08-29 23:04:13.252;/anonymous/shout/create;592;;;;;;
2021-08-29 23:04:14.266;/anonymous/shout/create;590;;;;;;
2021-08-29 23:04:15.252;/anonymous/shout/create;593;;;;;;
2021-08-29 23:04:16.233;/anonymous/shout/create;589;;;;;;
2021-08-29 23:04:17.264;/anonymous/shout/create;587;;;;;;
2021-08-29 23:04:18.276;/anonymous/shout/create;590;;;;;;
2021-08-29 23:04:19.254;/anonymous/shout/create;589;;;;;;
2021-08-29 23:04:20.263;/anonymous/shout/create;588;;;;;;
2021-08-29 23:04:21.247;/anonymous/shout/create;595;;;;;;
2021-08-29 23:04:22.255;/anonymous/shout/create;590;;;;;;
2021-08-29 23:04:23.256;/anonymous/shout/create;596;;;;;;
2021-08-29 23:04:24.271;/anonymous/shout/create;592;;;;;;
2021-08-29 23:03:08.943;/anonymous/shout/list;596;;;;;;
2021-08-29 23:03:11.768;/anonymous/shout/list;593;;;;;;
2021-08-29 23:03:14.22;/anonymous/shout/list;593;;;;;;
