timestamp,simple-path,time
2021-06-07 11:44:09.405,/master/welcome,2871
2021-06-07 11:44:09.622,/master/welcome,167
2021-06-07 11:44:10.872,/master/sign-in,1127
2021-06-07 11:44:12.126,/master/welcome,584
2021-06-07 11:44:14.243,/master/welcome,173
2021-06-07 11:44:14.945,/master/welcome,593
2021-06-07 11:44:15.256,/master/welcome,156
2021-06-07 11:44:15.46,/master/welcome,159
2021-06-07 11:44:16.164,/master/sign-in,580
2021-06-07 11:44:17.43,/master/welcome,598
2021-06-07 11:44:18.259,/administrator/word-class/create,580
2021-06-07 11:44:19.035,/master/welcome,585
2021-06-07 11:44:19.793,/administrator/word-class/list,588
2021-06-07 11:44:20.211,/master/welcome,172
2021-06-07 11:44:20.904,/master/welcome,585
2021-06-07 11:44:21.123,/master/welcome,141
2021-06-07 11:44:21.313,/master/welcome,160
2021-06-07 11:44:22.013,/master/sign-in,593
2021-06-07 11:44:23.259,/master/welcome,592
2021-06-07 11:44:24.074,/administrator/word-class/create,595
2021-06-07 11:44:24.858,/master/welcome,593
2021-06-07 11:44:25.62,/administrator/word-class/list,592
2021-06-07 11:44:26.023,/master/welcome,158
2021-06-07 11:44:26.746,/master/welcome,593
2021-06-07 11:44:26.963,/master/welcome,139
2021-06-07 11:44:27.133,/master/welcome,139
2021-06-07 11:44:27.835,/master/sign-in,594
2021-06-07 11:44:29.07,/master/welcome,581
2021-06-07 11:44:29.874,/administrator/word-class/create,588
2021-06-07 11:44:30.648,/master/welcome,587
2021-06-07 11:44:31.417,/administrator/word-class/list,597
2021-06-07 11:44:31.807,/master/welcome,159
2021-06-07 11:44:32.51,/master/welcome,594
2021-06-07 11:44:32.744,/master/welcome,157
2021-06-07 11:44:32.927,/master/welcome,155
2021-06-07 11:44:33.631,/master/sign-in,593
2021-06-07 11:44:34.879,/master/welcome,592
2021-06-07 11:44:35.692,/administrator/word-class/create,591
2021-06-07 11:44:36.466,/administrator/word-class/create,598
2021-06-07 11:44:36.686,/master/welcome,143
2021-06-07 11:44:36.855,/master/welcome,139
2021-06-07 11:44:37.557,/master/sign-in,593
2021-06-07 11:44:38.843,/master/welcome,591
2021-06-07 11:44:39.678,/administrator/word-class/create,594
2021-06-07 11:44:40.44,/administrator/word-class/create,594
2021-06-07 11:44:43.594,/master/welcome,209
2021-06-07 11:44:43.764,/master/welcome,140
2021-06-07 11:44:44.463,/master/sign-in,592
2021-06-07 11:44:45.709,/master/welcome,595
2021-06-07 11:44:47.301,/master/welcome,172
2021-06-07 11:44:48.001,/master/welcome,595
2021-06-07 11:44:48.223,/master/welcome,143
2021-06-07 11:44:48.396,/master/welcome,142
2021-06-07 11:44:49.09,/master/sign-in,585
2021-06-07 11:44:50.356,/master/welcome,595
2021-06-07 11:44:51.169,/administrator/word-class/list,594
2021-06-07 11:44:52.232,/administrator/word-class/show,596
2021-06-07 11:44:52.512,/master/welcome,157
2021-06-07 11:44:53.212,/master/welcome,590
2021-06-07 11:44:53.429,/master/welcome,141
2021-06-07 11:44:53.603,/master/welcome,142
2021-06-07 11:44:54.299,/master/sign-in,589
2021-06-07 11:44:55.575,/master/welcome,605
2021-06-07 11:44:56.389,/administrator/word-class/list,597
2021-06-07 11:44:57.435,/administrator/word-class/show,595
2021-06-07 11:44:57.713,/master/welcome,156
2021-06-07 11:44:58.413,/master/welcome,592
2021-06-07 11:44:58.633,/master/welcome,144
2021-06-07 11:44:58.806,/master/welcome,144
2021-06-07 11:44:59.507,/master/sign-in,593
